date,ticker,sector,open,high,low,close,volume,period_return_pct,ma_short,ma_long,volatility_ann,dollar_volume,range_pct
2025-04-11,JPM,Financials,200.9854,233.0276,197.4593,230.7078,105603344.0,12.3264,244.903,217.07,47.5042,24363515166.8832,18.013
2025-04-17,JPM,Financials,231.5869,234.2046,222.6301,226.5664,42810978.0,-1.7951,242.9881,218.0175,44.3804,9699529165.9392,5.199
2025-04-25,JPM,Financials,225.2673,241.0516,221.0732,237.8869,51188103.0,4.9965,241.5201,219.0416,45.4915,12176979139.5507,9.037
2025-05-02,JPM,Financials,238.8734,247.7214,232.8859,246.6385,43457407.0,3.6789,240.5417,220.2886,46.1687,10718269676.3695,6.3703
2025-05-09,JPM,Financials,245.3395,249.9302,243.0441,247.1953,33952702.0,0.2258,238.9717,221.3948,45.6077,8392948356.7006,2.8333
2025-05-16,JPM,Financials,256.787,263.253,252.6846,261.3386,44983466.0,5.7215,238.4307,222.6625,47.2395,11755916027.5876,4.1825
2025-05-23,JPM,Financials,259.3753,262.0808,250.0474,254.6478,41231381.0,-2.5602,238.2968,223.8764,46.6094,10499480462.6118,4.8125
2025-05-30,JPM,Financials,255.9469,260.5181,255.898,257.8613,29101617.0,1.2619,238.3795,225.1168,46.6632,7504180791.7221,1.8054
2025-06-06,JPM,Financials,256.9041,260.9088,254.2571,259.5511,34842650.0,0.6553,240.2617,226.4389,42.7089,9043448134.415,2.6161
2025-06-13,JPM,Financials,259.8149,263.3506,256.6014,258.7893,36973854.0,-0.2935,242.8199,227.8596,41.4474,9568437794.9622,2.6302
2025-06-20,JPM,Financials,260.7916,271.2624,260.6451,268.6056,38861395.0,3.7932,245.4472,229.4229,41.4027,10438388320.812,4.0734
2025-06-27,JPM,Financials,268.6642,282.6805,265.7855,280.434,51000096.0,4.4036,248.8933,231.1042,41.8483,14302160921.664,6.3566
2025-07-03,JPM,Financials,284.989,290.8772,281.25,290.4847,36727754.0,3.584,255.439,232.9113,28.0874,10668850602.3638,3.423
2025-07-11,JPM,Financials,289.7487,290.524,275.087,281.515,51338910.0,-3.0878,259.3473,234.5431,21.5066,14452673248.65,5.6116
2025-07-18,JPM,Financials,281.7211,287.0499,277.7367,285.8428,52312341.0,1.5373,263.907,236.1689,20.2331,14953106025.9948,3.3532
2025-07-25,JPM,Financials,285.5779,294.0077,283.7918,293.0559,34619229.0,2.5234,268.1508,237.8879,19.1359,10145369311.9011,3.5998
2025-08-01,JPM,Financials,292.1137,295.6791,278.9414,283.9782,48294641.0,-3.0976,271.023,239.6741,20.7528,13714625220.8262,6.0004
2025-08-08,JPM,Financials,284.8517,290.2737,279.4011,283.3796,34853645.0,-0.2108,273.8065,241.3259,20.8532,9876811978.642,3.8914
2025-08-15,JPM,Financials,284.0077,289.9941,281.8094,285.0774,36165453.0,0.5991,275.6325,242.8596,18.2868,10309953311.0622,2.9043
2025-08-22,JPM,Financials,284.5965,291.6231,281.9173,290.7202,33969628.0,1.9794,278.4073,244.4218,16.9867,9875657046.0856,3.4428
2025-08-29,JPM,Financials,290.7202,297.3052,288.0314,295.8037,31834435.0,1.7486,281.326,245.9619,17.0408,9416743660.4095,3.2197
2025-09-05,JPM,Financials,294.6653,299.4642,288.8262,288.8949,29839161.0,-2.3356,283.5832,247.5968,18.3676,8620381433.1789,3.6832
2025-09-12,JPM,Financials,289.3954,301.8195,286.0096,301.1914,38613168.0,4.2564,286.8449,249.6185,19.3598,11629954128.3552,5.5277
2025-09-19,JPM,Financials,301.4466,309.9158,301.412,308.9148,57924596.0,2.5643,289.9456,251.6637,18.7963,17893764988.4208,2.8213
2025-09-26,JPM,Financials,304.0275,311.8883,303.7871,310.1709,37756457.0,0.4066,292.233,253.744,17.4127,11710954248.5013,2.6667
2025-10-03,JPM,Financials,311.1523,312.0846,300.4358,304.2533,41150795.0,-1.9079,293.2922,255.6742,17.0758,12520265176.3735,3.8773
2025-10-10,JPM,Financials,305.8773,307.423,296.6373,296.7162,37816318.0,-2.4772,294.4615,257.2539,16.5743,11220714174.9516,3.636
2025-10-17,JPM,Financials,301.3609,307.7903,290.119,293.4324,59025114.0,-1.1067,295.0453,258.7133,16.6521,17319880861.2936,6.0911
2025-10-24,JPM,Financials,294.3593,299.8323,286.5145,296.2724,34988869.0,0.9679,295.2927,260.2841,16.0,10366236191.9156,4.6482
2025-10-31,JPM,Financials,297.9686,308.53,296.8345,306.8043,34734392.0,3.5548,297.0486,262.0457,15.7569,10656660823.4856,3.9401
2025-11-07,JPM,Financials,306.6859,310.4727,300.8678,309.8514,36196143.0,0.9932,299.0849,263.6053,15.6661,11215425583.1502,3.1924
2025-11-14,JPM,Financials,310.6305,317.7799,297.0515,299.3985,40703228.0,-3.3735,300.1865,264.8093,17.675,12186485408.358,6.9781
2025-11-21,JPM,Financials,299.783,305.6209,288.7484,293.886,41236308.0,-1.8412,300.43,265.8471,17.8515,12118773612.888,5.8433
2025-11-28,JPM,Financials,294.103,309.3682,290.4247,308.7371,32050673.0,5.0534,301.4249,267.1488,20.2299,9895231835.0683,6.5227
2025-12-05,JPM,Financials,308.6089,314.072,302.5442,310.6699,39658369.0,0.626,303.0999,268.5315,19.3649,12320661531.3931,3.8103
2025-12-12,JPM,Financials,310.6896,315.8273,294.3199,314.1016,62307060.0,1.1046,304.093,270.1179,17.7393,19570747237.296,7.3075
2025-12-19,JPM,Financials,315.1568,318.4011,307.889,312.8098,63853432.0,-0.4113,304.3926,271.7228,17.1179,19973979293.2336,3.4143
2025-12-26,JPM,Financials,313.1057,326.2705,313.1057,323.3614,23470492.0,3.3732,305.4073,273.4645,18.3177,7589451151.8088,4.2046
2026-01-02,JPM,Financials,322.464,323.2233,316.2909,320.9651,29642172.0,-0.7411,306.6928,275.1209,17.8367,9514102700.1972,2.1918
2026-01-09,JPM,Financials,322.4237,334.0626,321.5322,326.0788,46703865.0,1.5932,308.9514,276.9158,16.7781,15229140254.562,3.8971
2026-01-16,JPM,Financials,318.8419,323.7709,303.2269,309.5169,87531652.0,-5.0791,310.1887,278.0323,20.2153,27092525578.9188,6.7751
2026-01-23,JPM,Financials,303.3161,308.2094,293.7077,294.9063,44584779.0,-4.7205,310.0836,278.7618,22.6372,13148332211.2077,4.9374
2026-01-30,JPM,Financials,294.9955,305.0198,294.6389,302.9991,56171259.0,2.7442,309.7909,279.6011,22.1397,17019840922.8669,3.5233
2026-02-06,JPM,Financials,301.5826,321.1806,298.5218,319.353,57895619.0,5.3973,310.5218,280.5962,24.6507,18489139614.507,7.5903
2026-02-13,JPM,Financials,318.303,323.3152,293.7176,299.6906,52641105.0,-6.1569,310.5443,281.1985,26.9618,15776044342.113,10.0769
2026-02-20,JPM,Financials,299.8986,309.3286,299.641,307.8527,30636749.0,2.7235,311.6186,282.1882,27.1031,9431605898.8723,3.2331
2026-02-27,JPM,Financials,305.8816,308.0608,288.6262,297.4619,60233665.0,-3.3753,310.7513,282.9704,26.0874,17917220434.8635,6.7335
2026-03-06,JPM,Financials,292.0237,299.5321,281.0286,286.7441,53071813.0,-3.6031,308.9109,283.9639,26.8497,15218029254.0533,6.5842
2026-03-13,JPM,Financials,282.8017,289.9832,276.4622,280.7612,53642610.0,-2.0865,306.3462,285.026,26.7559,15060763554.732,4.8907
2026-03-20,JPM,Financials,283.6338,289.0026,281.9201,283.8517,59450428.0,1.1008,304.1187,285.976,27.0196,16875105053.5276,2.5122
2026-03-27,JPM,Financials,291.5285,294.827,279.0872,280.1669,53293821.0,-1.2981,300.796,286.8324,25.5594,14931164618.7249,5.6398
2026-04-02,JPM,Financials,282.049,295.8969,279.6618,291.8158,42627649.0,4.1578,298.5538,288.4944,27.6027,12439421495.0542,5.8053
2026-04-10,JPM,Financials,292.7597,309.8837,291.4039,308.4998,38238163.0,5.7173,297.2015,289.9904,30.1752,11796465637.8674,6.3416
2026-04-17,JPM,Financials,306.1104,313.5075,302.9146,308.9179,48950561.0,0.1355,297.1555,291.5741,28.3784,15121704507.9419,3.497
2026-04-24,JPM,Financials,309.4754,318.8189,306.5285,306.9168,35587153.0,-0.6478,298.0793,292.9016,26.5154,10922295119.8704,4.0095
2026-05-01,JPM,Financials,305.523,314.6823,305.2144,311.0883,38356464.0,1.3592,298.7016,294.141,26.1198,11932247179.7712,3.1021
2026-05-08,JPM,Financials,309.2464,314.9013,299.1712,300.7641,40108428.0,-3.3187,297.2717,295.1712,24.4603,12063175249.8348,5.2579
2026-05-15,JPM,Financials,300.7641,304.709,294.2431,296.4931,42783292.0,-1.42,297.0257,295.8473,21.2605,12684950873.2852,3.5569
2026-05-22,JPM,Financials,296.6823,306.0905,292.3714,305.0252,38747553.0,2.8777,296.8082,296.816,21.3495,11818980103.3356,4.6923
2026-05-29,JPM,Financials,307.1259,308.5595,293.8897,297.9865,43257148.0,-2.3076,296.8486,297.5877,20.7223,12890046132.502,4.9916
2026-06-05,JPM,Financials,296.3736,313.6071,293.9643,310.9887,42694086.0,4.3634,298.7135,298.5769,20.7597,13277378302.8282,6.682
2026-06-12,JPM,Financials,311.8648,319.8792,307.5142,319.3018,42410576.0,2.6731,301.6782,299.7406,20.202,13541773255.8368,4.021
2026-06-18,JPM,Financials,322.4876,336.595,317.4301,323.7819,51441252.0,1.4031,304.7498,300.8017,20.2156,16655746310.9388,6.0375
2026-06-26,JPM,Financials,328.2421,341.9298,325.3052,327.595,53362430.0,1.1777,308.3981,301.7086,19.5635,17481265255.85,5.1105
2026-07-02,JPM,Financials,326.8284,338.4965,323.5728,332.991,39687458.0,1.6472,311.5654,302.526,18.5618,13215566326.878,4.6122
2026-07-10,JPM,Financials,335.0,341.4,330.13,336.47,56164208.0,1.0448,313.7169,303.5829,15.5852,18897571065.76,3.4138
2026-07-17,JPM,Financials,338.34,351.24,325.75,341.1,54091396.0,1.3761,316.1925,304.6455,15.5909,18450575175.6,7.825
2019-01-04,XOM,Energy,48.6665,50.7679,47.9114,50.6824,62444010.0,4.3713,54.5246,55.5952,32.7113,3164812292.424,5.9619
2019-01-11,XOM,Energy,50.7536,51.7153,50.3903,51.0884,58697895.0,0.8011,54.04,55.4264,32.0467,2998781538.918,2.6293
2019-01-18,XOM,Energy,50.7251,52.2068,50.5043,51.9931,59807219.0,1.7709,53.593,55.2798,32.3291,3109562718.1889,3.3709
2019-01-25,XOM,Energy,51.5657,51.7936,50.3191,51.0884,48493861.0,-1.74,53.3173,55.0915,30.814,2477473768.3124,2.9304
2019-02-01,XOM,Energy,50.5898,54.4862,50.1268,54.0802,78561806.0,5.8561,53.032,55.0195,30.9491,4248638180.8412,8.6969
2019-02-08,XOM,Energy,54.5644,54.5716,52.3821,53.2824,65516072.0,-1.4752,52.6994,55.0371,31.0186,3490853554.7328,4.1798
2019-02-15,XOM,Energy,53.2104,56.0049,52.8647,55.9689,63352221.0,5.042,52.6781,55.0964,32.599,3545754121.9269,5.9401
2019-02-22,XOM,Energy,55.8608,56.8619,55.7816,56.4802,45969888.0,0.9135,52.8863,55.1523,31.1538,2596388468.2176,1.9367
2019-03-01,XOM,Energy,56.4874,57.6182,56.3218,57.6182,62680475.0,2.0149,52.9623,55.2564,29.5901,3611536144.645,2.3018
2019-03-08,XOM,Energy,57.7911,58.0144,56.0769,56.9052,83222209.0,-1.2375,53.0853,55.3599,29.2584,4735776447.5868,3.4549
2019-03-15,XOM,Energy,57.6038,58.2736,57.3661,57.7262,67934657.0,1.4428,53.3844,55.4718,28.6079,3921609596.9134,1.5819
2019-03-22,XOM,Energy,57.9351,59.0586,57.8343,57.9639,59525451.0,0.4118,54.1106,55.6179,17.5258,3450327289.2189,2.1171
2019-03-29,XOM,Energy,57.6182,58.6842,57.3229,58.1944,46353797.0,0.3977,54.8517,55.7455,17.4309,2697531404.1368,2.3747
2019-04-05,XOM,Energy,58.504,59.4403,58.0575,59.4115,46445353.0,2.0914,55.5232,55.8931,16.3242,2759388089.7595,2.3818
2019-04-12,XOM,Energy,59.5412,59.9229,58.0359,58.2808,53748295.0,-1.9032,56.0764,55.9796,17.5021,3132493631.236,3.2514
2019-04-18,XOM,Energy,58.2591,58.9362,57.9927,58.432,33347098.0,0.2594,56.5717,56.0535,17.4915,1948537630.336,1.6269
2019-04-26,XOM,Energy,58.965,60.1318,57.3013,57.9711,62238190.0,-0.7888,57.1012,56.1346,16.9579,3608016336.309,4.9397
2019-05-03,XOM,Energy,57.7046,57.9999,55.6303,55.796,65196061.0,-3.752,57.2331,56.1857,15.8942,3637679419.556,4.2595
2019-05-10,XOM,Energy,56.0294,56.5685,54.7547,55.7672,62496411.0,-0.0516,57.4243,56.1671,15.4689,3485249851.5192,3.3125
2019-05-17,XOM,Energy,55.1043,56.0512,54.7838,55.2937,49027739.0,-0.8491,57.3723,56.1392,11.8192,2710925091.9443,2.3135
2019-05-24,XOM,Energy,55.3957,55.6944,53.2032,53.9753,45216831.0,-2.3844,57.1797,56.1207,12.4409,2440592018.2743,4.6824
2019-05-31,XOM,Energy,54.0773,54.0846,51.4477,51.5497,51903558.0,-4.4939,56.7128,56.0137,13.8458,2675612843.8326,5.1253
2019-06-07,XOM,Energy,51.7827,54.6017,51.6953,54.3249,53706489.0,5.3835,56.5144,55.9363,18.5465,2917599644.2761,5.6221
2019-06-14,XOM,Energy,54.7693,55.2209,53.7641,54.1574,42658888.0,-0.3083,56.2398,55.8951,18.1493,2310294460.9712,2.7097
2019-06-21,XOM,Energy,54.019,56.6413,53.9316,56.5903,68542433.0,4.4923,56.1342,55.891,20.6604,3878836846.1999,5.0243
2019-06-28,XOM,Energy,56.4738,56.6413,55.1845,55.8182,54046783.0,-1.3644,55.9514,55.854,20.7595,3016794142.8506,2.6399
2019-07-05,XOM,Energy,56.1824,56.7651,54.9295,55.454,34056399.0,-0.6525,55.647,55.8153,20.1153,1888563550.146,3.3417
2019-07-12,XOM,Energy,55.4613,56.7287,55.1626,56.5466,36359985.0,1.9703,55.5136,55.7845,20.4282,2056033527.801,2.839
2019-07-19,XOM,Energy,56.5466,56.6267,54.0336,54.6236,47402001.0,-3.4007,55.2206,55.7424,21.3652,2589267941.8236,4.7991
2019-07-26,XOM,Energy,54.8057,55.3957,54.2667,54.4925,41942932.0,-0.24,54.953,55.6907,21.3587,2285575222.01,2.0805
2019-08-02,XOM,Energy,54.5434,55.1116,51.8483,52.2635,65667235.0,-4.0905,54.6813,55.6193,21.5959,3431999536.4225,6.2939
2019-08-09,XOM,Energy,51.557,52.7443,50.5518,51.6007,74585002.0,-1.2682,54.3608,55.5346,21.633,3848638312.7014,4.3372
2019-08-16,XOM,Energy,51.6701,52.0831,49.0667,50.3721,66086207.0,-2.381,53.9822,55.442,21.9383,3328901027.6247,6.1476
2019-08-23,XOM,Energy,50.8662,51.6111,49.4354,49.7747,54258513.0,-1.186,53.6591,55.3195,21.6622,2700701207.0211,4.401
2019-08-30,XOM,Energy,50.2394,50.9474,49.3913,50.5049,44671070.0,1.467,53.5787,55.2035,20.2282,2256107923.243,3.1507
2019-09-06,XOM,Energy,50.0698,52.3266,49.878,52.3118,37128079.0,3.5777,53.4239,55.0998,18.3322,1942236643.0322,4.9091
2019-09-13,XOM,Energy,52.4814,53.7278,52.1421,53.5729,53181858.0,2.4107,53.3789,55.0056,19.0921,2849106360.4482,3.041
2019-09-20,XOM,Energy,55.3429,55.4462,52.9976,53.1599,70007961.0,-0.7709,53.115,54.8729,16.3728,3721616205.9639,4.6201
2019-09-27,XOM,Energy,52.7469,53.3664,52.0905,52.7174,46828363.0,-0.8324,52.8765,54.7337,16.2792,2468669543.6162,2.4494
2019-10-04,XOM,Energy,52.5405,52.6953,48.9045,50.8663,59481462.0,-3.5114,52.5236,54.5546,17.4237,3025601890.5306,7.7515
2019-10-11,XOM,Energy,50.6671,51.2497,49.1478,50.8736,49153754.0,0.0144,52.0872,54.4293,16.5749,2500628419.4944,4.2767
2019-10-18,XOM,Energy,50.5933,51.6259,49.8632,49.8632,46727320.0,-1.9861,51.721,54.2766,15.8325,2329973702.624,3.535
2019-10-25,XOM,Energy,50.0182,51.6628,50.0182,51.0728,45361566.0,2.4258,51.458,54.2074,17.0054,2316742188.0048,3.2881
2019-11-01,XOM,Energy,51.2276,51.3825,49.5166,51.3309,68194498.0,0.5054,51.3862,54.0832,15.1502,3500484957.3882,3.7682
2019-11-08,XOM,Energy,52.3128,54.5899,52.2157,52.8354,69938464.0,2.931,51.4812,53.9914,16.0687,3695226720.8256,4.5468
2019-11-15,XOM,Energy,52.4173,52.7159,50.9018,51.6558,57164628.0,-2.2326,51.58,53.9032,15.9677,2952884591.0424,3.5641
2019-11-22,XOM,Energy,51.29,52.3949,50.2597,51.7902,65846306.0,0.2602,51.735,53.865,15.6766,3410193357.0012,4.2484
2019-11-29,XOM,Energy,51.7903,51.8425,50.7674,50.8645,42501366.0,-1.7874,51.7627,53.7541,15.9995,2161810730.907,2.1176
2019-12-06,XOM,Energy,51.1407,52.1635,50.409,51.8947,61838387.0,2.0254,51.7306,53.6885,14.7828,3209084541.8489,3.4805
2019-12-13,XOM,Energy,51.5737,52.6637,51.2676,51.6857,68512056.0,-0.4027,51.5854,53.6471,13.7979,3541093572.7992,2.7232
2019-12-20,XOM,Energy,52.0366,52.5443,51.6932,52.2158,91676030.0,1.0256,51.5128,53.7181,13.9756,4786937247.274,1.6464
2019-12-27,XOM,Energy,52.156,52.6338,51.9096,52.1784,37507758.0,-0.0716,51.4713,53.7877,13.8902,1957094800.0272,1.3951
2020-01-03,XOM,Energy,52.3277,53.2833,51.5214,52.5069,55682094.0,0.6296,51.5975,53.8228,11.7358,2923694141.4486,3.4198
2020-01-10,XOM,Energy,52.4995,53.2759,51.2377,51.6185,79417321.0,-1.692,51.6548,53.833,12.3677,4099402984.0385,3.9779
2020-01-17,XOM,Energy,51.6633,52.1635,50.9839,51.1855,69083890.0,-0.8388,51.7565,53.8175,11.7145,3536093451.595,2.3137
2020-01-24,XOM,Energy,51.0511,51.0809,49.3041,49.5131,72843124.0,-3.2673,51.6366,53.7872,12.559,3606688882.9244,3.6039
2020-01-31,XOM,Energy,48.8412,49.0727,46.1834,46.3775,107877154.0,-6.3329,51.2555,53.6391,17.3647,5003072709.635,6.2561
2020-02-07,XOM,Energy,45.825,47.0419,44.7126,45.8922,122541085.0,-1.0464,50.7214,53.4969,15.4245,5623679981.037,5.2096
2020-02-14,XOM,Energy,45.8082,46.6035,45.1569,45.937,81468467.0,0.0976,50.2815,53.304,15.3583,3742416968.579,3.2036
2020-02-21,XOM,Energy,45.5584,45.9143,44.5283,44.7858,66759439.0,-2.506,49.7427,53.0791,15.4669,2989874883.1662,3.1128
2020-02-28,XOM,Energy,43.6421,43.7784,36.3634,38.9613,208810222.0,-13.0052,48.8271,52.7203,28.4677,8135517702.4086,20.3916
2020-03-06,XOM,Energy,39.8323,41.0139,35.7499,36.121,209136707.0,-7.2901,47.6137,52.3206,28.9198,7554226993.547,14.7246
2020-03-13,XOM,Energy,31.5916,35.0378,26.5094,28.8725,330010575.0,-20.0673,45.8589,51.7658,44.6862,9528230326.6875,32.1714
2020-03-20,XOM,Energy,26.055,28.6908,23.654,24.7977,269485426.0,-14.1131,43.7498,51.128,47.2265,6682618748.3202,21.2936
2020-03-27,XOM,Energy,24.6386,29.9632,22.8057,27.9864,273470362.0,12.8589,41.8889,50.547,59.0783,7653450939.0768,31.3849
2020-04-03,XOM,Energy,27.441,31.9476,27.1608,29.6981,233611560.0,6.1162,40.1344,49.9756,62.0284,6937819470.036,17.6241
2020-04-09,XOM,Energy,30.2056,35.3787,29.7133,32.6672,183509192.0,9.9976,38.6766,49.483,67.9766,5994731476.9024,19.067
